hostname,executable,timestamp,PCD_filename,Threshold-F,Decimation-F,depth_to_disparity-F,spatial_filter,temporal_filter,hole_filling_filter,disparity_to_depth-F,Sum RS2 filters,RS2 PC calc. orig.,RS2 PC calc fil.,RS2 PC to PCL orig.,RS2 PC to PCL fil.,sum RS2 depth to PCL (orig.+fil.),sum RS2 depth to PCL (fil. only)
es-copter,./09_realsense_filter,10/01/23 14:53:59.67224403 UTC,20231001_09_couch_box_Nano,7.32637 ms,8.53659 ms,2.70181 ms,15.4147 ms,2.38577 ms,2.49848 ms,1.28518 ms,40.149 ms,153.192 ms,5.78832 ms,145.412 ms,10.1629 ms,314.555 ms,15.9512 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:38:52.268175030 UTC,20231008_09_couch_top_right_legion,4.16211 ms,17.0026 ms,16.4454 ms,8.07993 ms,1.04516 ms,0.936978 ms,0.423759 ms,48.0961 ms,14.8096 ms,0.517204 ms,27.4719 ms,1.80489 ms,44.6036 ms,2.32209 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:39:28.569389220 UTC,20231008_09_couch_top_right_legion,1.60239 ms,13.2312 ms,13.1754 ms,3.95471 ms,0.912795 ms,0.685431 ms,0.375637 ms,33.9376 ms,12.52 ms,0.600308 ms,27.3269 ms,1.64964 ms,42.0969 ms,2.24995 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:40:24.192166842 UTC,20231008_09_couch_middle_legion,4.21585 ms,17.4601 ms,15.3958 ms,4.4245 ms,0.745572 ms,0.572931 ms,0.311882 ms,43.1268 ms,8.32338 ms,0.509742 ms,28.7897 ms,1.66759 ms,39.2904 ms,2.17733 ms
ChrisLegion,./09_realsense_filter,10/08/23 15:40:50.336243096 UTC,20231008_09_couch_middle_legion,4.44111 ms,17.4228 ms,15.6288 ms,4.95308 ms,0.784131 ms,0.555424 ms,0.333751 ms,44.1193 ms,15.735 ms,0.55258 ms,30.3609 ms,1.78161 ms,48.4301 ms,2.33419 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:31:13.806835016 UTC,20231014_09_couch_middle_no_box,3.75803 ms,17.4911 ms,16.7823 ms,3.13408 ms,1.09085 ms,1.24294 ms,0.353701 ms,43.8531 ms,23.313 ms,0.543153 ms,28.9261 ms,1.65706 ms,54.4392 ms,2.20021 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:31:38.276096940 UTC,20231014_09_couch_middle_no_box,5.40561 ms,20.0313 ms,17.9063 ms,6.33964 ms,0.929178 ms,0.876326 ms,0.365998 ms,51.8546 ms,9.75454 ms,0.557079 ms,26.6606 ms,2.18793 ms,39.1602 ms,2.74501 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:32:21.510159124 UTC,PCD not saved to files,4.72085 ms,17.3472 ms,15.8071 ms,3.80915 ms,1.03829 ms,1.04432 ms,0.361993 ms,44.129 ms,10.4822 ms,0.50393 ms,27.5467 ms,2.52267 ms,41.0555 ms,3.0266 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:32:35.812507713 UTC,PCD not saved to files,1.46081 ms,13.9771 ms,26.3762 ms,4.65853 ms,0.938149 ms,0.697731 ms,0.356863 ms,48.4654 ms,14.1513 ms,0.523378 ms,31.0884 ms,1.69195 ms,47.4549 ms,2.21532 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:33:11.482629346 UTC,20231014_09_couch_middle_no_box,2.58793 ms,23.4267 ms,13.4215 ms,4.18298 ms,2.26314 ms,2.33924 ms,0.852255 ms,49.0738 ms,19.03 ms,0.625318 ms,30.5571 ms,1.8553 ms,52.0677 ms,2.48061 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:33:21.801278157 UTC,20231014_09_couch_middle_no_box,4.5106 ms,30.4165 ms,16.2697 ms,6.46791 ms,0.907169 ms,0.685306 ms,0.367088 ms,59.6244 ms,8.8849 ms,0.55163 ms,26.1778 ms,1.65491 ms,37.2693 ms,2.20654 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:33:59.988744276 UTC,20231014_09_couch_middle_no_box,2.5219 ms,15.1637 ms,14.3932 ms,4.14524 ms,0.859789 ms,0.54975 ms,0.306674 ms,37.9403 ms,11.0424 ms,0.604045 ms,27.5306 ms,2.1932 ms,41.3702 ms,2.79725 ms
ChrisLegion,./09_realsense_filter,10/14/23 10:34:24.697658626 UTC,20231014_09_couch_middle_no_box,4.5911 ms,20.6561 ms,17.7631 ms,5.34979 ms,0.859503 ms,0.635867 ms,0.385594 ms,50.2412 ms,10.2235 ms,0.61332 ms,30.2272 ms,1.81775 ms,42.8818 ms,2.43107 ms
